"USAF","WBAN","STNID","STN_NAME","CTRY","STATE","CALL","LAT","LON","ELEV_M","ELEV_M_SRTM_90m","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_CNT","DEWP","DEWP_CNT","SLP","SLP_CNT","STP","STP_CNT","VISIB","VISIB_CNT","WDSP","WDSP_CNT","MXSPD","GUST","MAX","MAX_FLAG","MIN","MIN_FLAG","PRCP","PRCP_FLAG","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-11,"2012","04","11",102,8.1,17,4.1,17,998.7,17,992.6,17,NA,0,2.9,17,3.6,NA,11.4,NA,4.6,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.1,72.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-12,"2012","04","12",103,6.6,24,4.9,24,1002,24,995.8,24,NA,0,1.6,24,4.1,NA,9.5,NA,2.4,NA,5.1,"E",NA,0,0,0,0,0,0,0.9,1,90
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-13,"2012","04","13",104,5.9,24,4.1,24,1003,24,996.8,24,NA,0,2,24,3.6,NA,9.2,NA,2.7,"*",6.1,"E",NA,0,0,0,0,0,0,0.8,0.9,88.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-14,"2012","04","14",105,6.2,24,2.4,24,1006.3,24,1000,24,NA,0,2.2,24,3.6,NA,10.6,NA,1.4,NA,0,"I",NA,0,0,0,0,0,0,0.7,0.9,77.8
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-15,"2012","04","15",106,6.5,24,1.4,24,1012.6,24,1006.3,24,NA,0,2.6,24,5.7,NA,10.4,NA,1.9,"*",1,"E",NA,0,0,0,0,0,0,0.7,1,70
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-16,"2012","04","16",107,4.3,23,-1.4,23,1015.4,23,1009,23,NA,0,4.8,23,8.7,NA,9.4,NA,0.3,NA,0.5,"E",NA,0,0,0,0,0,0,0.6,0.8,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-17,"2012","04","17",108,4.3,24,-1,24,1007.7,24,1001.4,24,NA,0,4.3,24,6.7,NA,7.6,NA,0.2,NA,0,"I",NA,0,0,0,0,0,0,0.6,0.8,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-18,"2012","04","18",109,7,24,2.1,24,997.5,24,991.4,24,NA,0,4.3,24,7.2,NA,9.1,NA,5.3,NA,0,"E",NA,0,0,0,0,0,0,0.7,1,70
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-19,"2012","04","19",110,8.9,24,3.2,24,995.9,24,989.8,24,NA,0,5.5,24,7.7,NA,13.3,NA,4.8,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.1,72.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-20,"2012","04","20",111,6.5,24,4.4,24,996.8,24,990.6,24,NA,0,3.5,24,6.7,NA,10.4,NA,2.9,"*",1,"E",NA,0,0,0,0,0,0,0.8,1,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-21,"2012","04","21",112,7.8,24,5.7,24,999.2,24,993.1,24,NA,0,2.5,24,7.7,NA,13.1,NA,2.6,NA,1,"E",NA,0,0,0,0,0,0,0.9,1.1,81.8
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-22,"2012","04","22",113,8.2,24,4.9,24,1002.4,24,996.3,24,NA,0,2.8,24,5.1,NA,12,NA,4.5,NA,6.1,"E",NA,0,0,0,0,0,0,0.9,1.1,81.8
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-23,"2012","04","23",114,7.7,23,4.4,23,1002.9,23,996.7,23,NA,0,3.2,23,6.7,NA,12,NA,4.7,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.1,72.7
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-24,"2012","04","24",115,8.2,24,5.5,24,999.8,24,993.6,24,NA,0,4,24,6.2,NA,11.8,NA,5.1,NA,7.1,"E",NA,0,0,0,0,0,0,0.9,1.1,81.8
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-25,"2012","04","25",116,9.2,24,6.2,24,999.8,24,993.6,24,NA,0,2.9,24,6.7,NA,12.9,NA,4.9,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.2,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-26,"2012","04","26",117,10.6,24,7.3,24,1002.6,24,996.5,24,NA,0,5.1,24,8.2,NA,13.7,NA,8.9,NA,4.8,"F",NA,0,0,0,0,0,0,1,1.3,76.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-27,"2012","04","27",118,11.6,23,6.9,23,1013,23,1006.9,23,NA,0,5.7,23,9.3,NA,15.3,NA,9,"*",0,"E",NA,0,0,0,0,0,0,1,1.4,71.4
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-28,"2012","04","28",119,7.3,24,4.6,24,1020,24,1013.6,24,NA,0,4,24,7.2,NA,12.2,NA,5.9,NA,1,"E",NA,0,0,0,0,0,0,0.8,1,80
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-29,"2012","04","29",120,10.2,22,5.7,22,1014.1,22,1007.9,22,NA,0,5.6,22,8.2,NA,14.7,NA,6.5,NA,0.5,"E",NA,0,0,0,0,0,0,0.9,1.2,75
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-04-30,"2012","04","30",121,12.1,24,7.1,24,1019.5,24,1013.3,24,NA,0,2.2,24,5.1,NA,18,NA,7.5,"*",0,"I",NA,0,0,0,0,0,0,1,1.4,71.4
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-01,"2012","05","01",122,11.9,24,3.6,24,1022.5,24,1016.3,24,NA,0,3.7,24,6.2,NA,17.3,NA,5.7,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.4,57.1
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-02,"2012","05","02",123,11.7,23,2.1,23,1019.6,23,1013.4,23,NA,0,2.7,23,4.6,NA,18.2,NA,6,NA,0,"I",NA,0,0,0,0,0,0,0.7,1.4,50
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-03,"2012","05","03",124,14.3,24,4.9,24,1009.8,24,1003.7,24,NA,0,1.3,24,3.6,NA,21.2,NA,5.2,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.6,56.2
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-04,"2012","05","04",125,10.3,24,6.5,24,1001.6,24,995.4,24,NA,0,4.9,24,7.2,NA,16.3,NA,6.6,"*",0,"I",NA,0,0,0,0,0,0,1,1.3,76.9
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-05,"2012","05","05",126,7.2,24,-1.4,24,1006.5,24,1000.2,24,NA,0,4.4,24,7.2,NA,12,NA,3.1,"*",0,"I",NA,0,0,0,0,0,0,0.6,1,60
"061260","99999","061260-99999","AARSLEV","DA",NA,NA,55.317,10.433,51,44,20120411,20190115,2012-05-06,"2012","05","06",127,6.1,24,-1,24,1013.4,24,1007.1,24,NA,0,1.5,24,4.1,NA,9.5,NA,1.6,NA,0,"I",NA,0,0,0,0,0,0,0.6,0.9,66.7
