"Timestamp","Year","Day","boxNumber","species","stage","nEggs","nLiveChicks","nDeadChicks","eggStatus","chickStatus","adultStatus","finalStatus","Comments","observerID"
"2013-05-14",2013,134,1,"BT","NL",12,0,0,"WA",NA,"FN",NA,NA,"AMK"
"2013-05-03",2013,123,1,"BT","NL",8,0,0,"CO, CV",NA,"FN",NA,"MA","AMK"
"2013-06-25",2013,176,1,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-06-18",2013,169,1,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-04-22",2013,112,1,"BT","NL",0,0,0,NA,NA,NA,NA,NA,"JL"
"2013-04-22",2013,112,1,"BT","NL",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-04-26",2013,116,1,"BT","NL",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-07-02",2013,183,1,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-23",2013,143,1,"BT","NL",NA,0,0,NA,NA,"FN",NA,NA,"AMK"
"2013-04-17",2013,107,1,"BT","N4",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,1,"BT","NL",0,12,0,NA,"FM","PV",NA,NA,"AMK"
"2013-07-16",2013,197,1,"BT","NE",0,0,0,NA,NA,NA,"NE",NA,"AMK"
"2013-05-07",2013,127,1,"BT","NL",11,0,0,"CO, CV",NA,"PN",NA,NA,"AMK"
"2013-04-29",2013,119,1,"BT","NL",3,0,0,"CO, CV",NA,"FN",NA,NA,"AMK"
"2013-04-09",2013,99,1,"BT","N1",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-30",2013,150,1,"BT","NL",NA,10,0,NA,"IP","AN, PV",NA,"defending female","AMK"
"2013-06-11",2013,162,1,"BT","NL",0,11,0,NA,"RF","AV",NA,NA,"AMK"
"2013-05-26",2013,146,1,"BT","NL",NA,2,0,NA,"NK, BL","FN",NA,NA,"AMK"
"2013-05-31",2013,151,1,"BT","NL",0,12,0,NA,"EY, IP","PV",NA,"Rings used 9R41105-115  -  1 chick not ringed","JL, CECILE, SHRUTI"
"2013-05-26",2013,146,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-14",2013,134,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-11",2013,162,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-07",2013,127,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-09",2013,99,2,NA,"N0",0,0,0,NA,NA,NA,NA,"NE","AMK"
"2013-04-29",2013,119,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-26",2013,116,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ, LDG"
"2013-06-17",2013,168,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"ORJ"
"2013-07-02",2013,183,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-05",2013,156,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-03",2013,123,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-05-23",2013,143,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-06-18",2013,169,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-07-16",2013,197,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-22",2013,112,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"JL, RSP"
"2013-06-25",2013,176,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
"2013-04-17",2013,107,2,NA,"N0",0,0,0,NA,NA,NA,NA,NA,"AMK"
