"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH","ELEV(M)"
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-11,2012,4,11,102,8.1,17,4.1,17,998.7,17,992.6,17,NA,0,2.9,17,3.6,NA,11.4,NA,4.6,"*",0,"I",NA,0,0,0,0,0,0,0.8,1.1,75.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-12,2012,4,12,103,6.6,24,4.9,24,1002,24,995.8,24,NA,0,1.6,24,4.1,NA,9.5,NA,2.4,NA,5.08,"E",NA,0,0,0,0,0,0,0.9,1,88.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-13,2012,4,13,104,5.9,24,4.1,24,1003,24,996.8,24,NA,0,2,24,3.6,NA,9.2,NA,2.7,"*",6.1,"E",NA,0,0,0,0,0,0,0.8,0.9,88.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-14,2012,4,14,105,6.2,24,2.4,24,1006.3,24,0,24,NA,0,2.2,24,3.6,NA,10.6,NA,1.4,NA,0,"I",NA,0,0,0,0,0,0,0.7,0.9,76.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-15,2012,4,15,106,6.5,24,1.4,24,1012.6,24,6.3,24,NA,0,2.6,24,5.7,NA,10.4,NA,1.9,"*",1.02,"E",NA,0,0,0,0,0,0,0.7,1,69.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-16,2012,4,16,107,4.3,23,-1.4,23,1015.4,23,9,23,NA,0,4.8,23,8.7,NA,9.4,NA,0.3,NA,0.51,"E",NA,0,0,0,0,0,0,0.6,0.8,66.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-17,2012,4,17,108,4.3,24,-1,24,1007.7,24,1.4,24,NA,0,4.3,24,6.7,NA,7.6,NA,0.2,NA,0,"I",NA,0,0,0,0,0,0,0.6,0.8,68.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-18,2012,4,18,109,7,24,2.1,24,997.5,24,991.4,24,NA,0,4.3,24,7.2,NA,9.1,NA,5.3,NA,0,"E",NA,0,0,0,0,0,0,0.7,1,71,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-19,2012,4,19,110,8.9,24,3.2,24,995.9,24,989.8,24,NA,0,5.5,24,7.7,NA,13.3,NA,4.8,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.1,67.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-20,2012,4,20,111,6.5,24,4.4,24,996.8,24,990.6,24,NA,0,3.5,24,6.7,NA,10.4,NA,2.9,"*",1.02,"E",NA,0,0,0,0,0,0,0.8,1,86.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-21,2012,4,21,112,7.8,24,5.7,24,999.2,24,993.1,24,NA,0,2.5,24,7.7,NA,13.1,NA,2.6,NA,1.02,"E",NA,0,0,0,0,0,0,0.9,1.1,86.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-22,2012,4,22,113,8.2,24,4.9,24,1002.4,24,996.3,24,NA,0,2.8,24,5.1,NA,12,NA,4.5,NA,6.1,"E",NA,0,0,0,0,0,0,0.9,1.1,79.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-23,2012,4,23,114,7.7,23,4.4,23,1002.9,23,996.7,23,NA,0,3.2,23,6.7,NA,12,NA,4.7,NA,0,"I",NA,0,0,0,0,0,0,0.8,1,79.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-24,2012,4,24,115,8.2,24,5.5,24,999.8,24,993.6,24,NA,0,4,24,6.2,NA,11.8,NA,5.1,NA,7.11,"E",NA,0,0,0,0,0,0,0.9,1.1,83.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-25,2012,4,25,116,9.2,24,6.2,24,999.8,24,993.6,24,NA,0,2.9,24,6.7,NA,12.9,NA,4.9,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.2,81.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-26,2012,4,26,117,10.6,24,7.3,24,1002.6,24,996.5,24,NA,0,5.1,24,8.2,NA,13.7,NA,8.9,NA,4.83,"F",NA,0,0,0,0,0,0,1,1.3,80,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-27,2012,4,27,118,11.6,23,6.9,23,1013,23,6.9,23,NA,0,5.7,23,9.3,NA,15.3,NA,9,"*",0,"E",NA,0,0,0,0,0,0,1,1.4,72.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-28,2012,4,28,119,7.3,24,4.6,24,1020,24,13.6,24,NA,0,4,24,7.2,NA,12.2,NA,5.9,NA,1.02,"E",NA,0,0,0,0,0,0,0.8,1,83,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-29,2012,4,29,120,10.2,22,5.7,22,1014.1,22,7.9,22,NA,0,5.6,22,8.2,NA,14.7,NA,6.5,NA,0.51,"E",NA,0,0,0,0,0,0,0.9,1.2,73.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-04-30,2012,4,30,121,12.1,24,7.1,24,1019.5,24,13.3,24,NA,0,2.2,24,5.1,NA,18,NA,7.5,"*",0,"I",NA,0,0,0,0,0,0,1,1.4,71.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-01,2012,5,1,122,11.9,24,3.6,24,1022.5,24,16.3,24,NA,0,3.7,24,6.2,NA,17.3,NA,5.7,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.4,56.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-02,2012,5,2,123,11.7,23,2.1,23,1019.6,23,13.4,23,NA,0,2.7,23,4.6,NA,18.2,NA,6,NA,0,"I",NA,0,0,0,0,0,0,0.7,1.4,51.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-03,2012,5,3,124,14.3,24,4.9,24,1009.8,24,3.7,24,NA,0,1.3,24,3.6,NA,21.2,NA,5.2,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.6,53.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-04,2012,5,4,125,10.3,24,6.5,24,1001.6,24,995.4,24,NA,0,4.9,24,7.2,NA,16.3,NA,6.6,"*",0,"I",NA,0,0,0,0,0,0,1,1.3,77.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-05,2012,5,5,126,7.2,24,-1.4,24,1006.5,24,0.2,24,NA,0,4.4,24,7.2,NA,12,NA,3.1,"*",0,"I",NA,0,0,0,0,0,0,0.6,1,54.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-06,2012,5,6,127,6.1,24,-1,24,1013.4,24,7.1,24,NA,0,1.5,24,4.1,NA,9.5,NA,1.6,NA,0,"I",NA,0,0,0,0,0,0,0.6,0.9,60.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-07,2012,5,7,128,6.9,24,0.8,24,1019.1,24,12.7,24,NA,0,1.5,24,2.6,NA,11.5,NA,3.2,NA,0,"I",NA,0,0,0,0,0,0,0.6,1,65.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-08,2012,5,8,129,10.4,21,5.6,21,1014.3,21,8.1,21,NA,0,3.1,21,6.7,NA,15.1,NA,2.5,NA,0,"I",NA,0,0,0,0,0,0,0.9,1.3,72.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-09,2012,5,9,130,13.3,24,11.2,24,1011,24,4.9,24,NA,0,3,24,4.6,NA,15.6,NA,11.9,"*",9.4,"F",NA,0,0,0,0,0,0,1.3,1.5,87.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-10,2012,5,10,131,14.4,24,13.6,24,1012.7,24,6.5,24,NA,0,5,24,8.2,NA,16.8,NA,11.2,NA,9.91,"F",NA,0,0,0,0,0,0,1.6,1.6,94.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-11,2012,5,11,132,12.7,24,10.2,24,1013.4,24,7.2,24,NA,0,7.9,24,11.3,NA,16.6,NA,6.7,"*",2.03,"E",NA,0,0,0,0,0,0,1.2,1.5,84.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-12,2012,5,12,133,7.8,24,2.6,24,1024.2,24,17.8,24,NA,0,7.9,24,10.8,NA,10.7,NA,6.2,NA,0.51,"E",NA,0,0,0,0,0,0,0.7,1.1,69.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-13,2012,5,13,134,8.4,24,3.4,24,1027.1,24,20.8,24,NA,0,4.1,24,5.7,NA,12.5,NA,4.1,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.1,70.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-14,2012,5,14,135,10.2,23,4.3,23,1016.2,23,9.9,23,NA,0,4.4,23,8.2,NA,13.2,NA,6.8,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.2,66.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-15,2012,5,15,136,9.9,24,6.4,24,1007.4,24,1.2,24,NA,0,2.2,24,5.1,NA,15.1,NA,5.4,NA,0,"E",NA,0,0,0,0,0,0,1,1.2,78.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-16,2012,5,16,137,7.2,24,4.9,24,1010.7,24,4.5,24,NA,0,5.7,24,8.7,NA,9.5,NA,5.3,"*",1.02,"E",NA,0,0,0,0,0,0,0.9,1,85.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-17,2012,5,17,138,7.2,23,2.3,23,1016.4,23,10.1,23,NA,0,5.7,23,8.7,NA,11.1,NA,4,NA,0,"E",NA,0,0,0,0,0,0,0.7,1,71,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2012-05-18,2012,5,18,139,10.4,24,4.4,24,1015.2,24,9,24,NA,0,3.3,24,5.7,NA,15.3,NA,2.5,NA,0,"I",NA,0,0,0,0,0,0,0.8,1.3,66.4,51
