COUNTRY_NAME,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,MONTH,DAY,YDAY,TEMPMIN,TEMPMAX,TEMPMEAN,MXSPD,PRCP
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,2,17,48,-18.9,-2.2,-10,6.2,NA
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,3,18,77,-2.2,6.1,0.7,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,3,20,79,-3.9,2.8,-0.8,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,3,28,87,0,7.8,3.1,NA,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,1,91,0,7.8,4,5.1,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,2,92,1.1,11.1,5.1,5.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,4,94,6.1,15,10.4,15.9,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,5,95,3.9,17.2,11.1,15.9,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,7,97,2.2,8.9,5.8,5.1,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,11,101,-1.1,10,4,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,15,105,2.8,12.8,7.8,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,17,107,2.8,13.9,9.3,3.1,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,18,108,7.8,12.2,8.3,3.1,2.54
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,19,109,3.9,13.9,7.1,7.2,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,20,110,-1.1,7.2,3.1,9.8,1.02
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,21,111,-2.8,7.8,3.8,5.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,22,112,0,11.1,5.7,NA,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,24,114,2.8,13.9,9,6.2,1.02
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,25,115,2.8,15,9.3,3.1,1.27
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,26,116,7.2,13.9,8.8,4.1,4.57
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,27,117,2.2,13.9,7.2,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,28,118,3.9,17.8,11.8,6.2,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,29,119,8.9,22.2,16.4,9.8,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,4,30,120,7.8,21.1,13.1,3.1,2.03
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,4,124,7.8,17.2,10.7,5.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,6,126,3.9,12.2,8.9,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,7,127,-1.1,3.9,2.3,6.2,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,8,128,-2.8,7.2,1.8,8.2,2.54
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,10,130,2.2,12.8,6.8,4.1,2.03
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,11,131,5,7.2,5.3,7.2,11.94
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,12,132,0,7.2,6.4,6.2,4.06
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,13,133,3.9,12.8,8.3,4.1,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,14,134,5,12.8,10.2,3.1,5.59
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,15,135,7.2,18.9,12.2,4.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,17,137,10,25,16.2,2.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,18,138,12.8,20,16.5,NA,1.02
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,19,139,10,22.8,17.1,1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,21,141,12.8,27.8,21,3.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,22,142,13.9,28.9,21.9,2.1,0.51
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,24,144,13.9,23.9,18.5,5.1,0
LITHUANIA,KAUNAS,54.883,23.833,76.99,1953,5,25,145,12.2,15,13.1,7.2,0
