"area","nSpecies","habitatType"
6.57146715396084,1,"complex"
10.1494166932534,1,"complex"
12.379069615854,1,"complex"
12.3949747947045,1,"complex"
14.0742182200775,2,"complex"
14.8539455959108,4,"complex"
15.0249409487005,3,"complex"
15.323476172518,5,"complex"
26.19830592582,7,"complex"
27.7037669438869,2,"complex"
30.8544619111344,6,"complex"
31.4926708359271,5,"complex"
31.5455926421564,5,"complex"
32.3752196591813,6,"complex"
33.6381041533314,5,"complex"
34.9859732973855,9,"complex"
42.0274857794866,6,"complex"
43.184853794286,7,"complex"
46.2482407295611,17,"complex"
4.61521412339061,3,"simple"
8.49694898840971,4,"simple"
12.9525125399232,2,"simple"
16.174643491162,4,"simple"
16.2793910468463,5,"simple"
17.158738611266,1,"simple"
24.7645707183983,2,"simple"
25.5978761746082,1,"simple"
25.6927409197669,2,"simple"
25.7227496951818,4,"simple"
28.1133459461853,2,"simple"
31.4691407084465,3,"simple"
32.6738986098208,1,"simple"
34.177631837083,3,"simple"
36.1463154237717,1,"simple"
38.5075295907445,5,"simple"
40.5602646754123,1,"simple"
